ORIG_KEGG	ID_CODE	ORGANISM_NAME
mgk	MGK	Mucilaginibacter ginsenosidivorax
mrub	MR5	Mucilaginibacter rubeus
mgos	MG9	Mucilaginibacter gossypii
mmab	MMK	Mucilaginibacter mali
mgik	MGA	Mucilaginibacter ginkgonis
mdj	MDJ	Mucilaginibacter daejeonensis
mrob	MR6	Mucilaginibacter robiniae
mjj	MJJ	Mucilaginibacter jinjuensis
msab	MSG	Mucilaginibacter sabulilitoris
muy	MUY	Mucilaginibacter sp. cycad4
mug	MUG	Mucilaginibacter sp. 21P
memp	MEl	Mucilaginibacter empetricola
mgei	MGB	Mucilaginibacter geliditolerans
msae	MSH	Mucilaginibacter saanensis
mtud	MTB	Mucilaginibacter tundrae
muf	MUF	Mucilaginibacter cryoferens
msew	MSI	Mucilaginibacter sediminis
agd	AGD	Anseongella ginsenosidimutans
oli	OLI	Olivibacter sp. LS-1
sbx	SBX	Sphingobacteriaceae bacterium GW460-11-11-14-LB5
cmr	CMR	Cyclobacterium marinum
camu	CA]	Cyclobacterium amurskyense
cxi	CXI	Cyclobacterium xiamenense
bbd	BBD	Belliella baltica
evi	EVI	Echinicola vietnamensis
est	EST	Echinicola strongylocentroti
echi	EC`	Echinicola soli
emai	EM3	Echinicola marina
alm	ALM	Algoriphagus sanaruensis
algo	ALR	Algoriphagus sp. NBT04N3
ahao	AH2	Algoriphagus halophytocola
ahap	AH3	Algoriphagus halophilus
mda	MDA	Mongoliitalea daihaiensis
chu	CHU	Cytophaga hutchinsonii
sli	SLI	Spirosoma linguale
srd	SRD	Spirosoma radiotolerans
smon	SMX	Spirosoma montaniterrae
spir	SP	Spirosoma pollinicola
spik	SP	Spirosoma sp. KCTC 42546
spib	SP	Spirosoma aureum
stae	STK	Spirosoma taeanense
srho	SR8	Spirosoma rhododendri
soq	SOQ	Spirosoma oryzicola
sfol	SF8	Spirosoma foliorum
senf	SEi	Spirosoma endbachense
spio	SP	Spirosoma sp. SC4-14
rhoz	RHP	Rhodocytophaga rosea
psez	PS¦	Aquirufa nivalisilvae
aanh	AA_	Aquirufa antheringensis
alen	ALS	Aquirufa lenticrescens
lby	LBY	Leadbetterella byssophila
eol	EOL	Emticicia oligotrophica
emz	EMZ	Emticicia sp. 21SJ11W-3
als	ALS	Arcticibacterium luteifluviistationis
maqa	MAh	Marinilongibacter aquaticus
dfe	DFE	Dyadobacter fermentans
dsn	DSN	Dyadobacter sandarakinus
dyc	DYC	Dyadobacter chenhuakuii
dfq	DFQ	Dyadobacter fanqingshengii
dcn	DCN	Dyadobacter chenwenxiniae
dpf	DPF	Dyadobacter pollutisoli
dend	DE9	Dyadobacter endophyticus
rsi	RSI	Runella slithyformis
run	RUN	Runella rosea
rup	RUP	Runella sp. SP2
fae	FAE	Fibrella aestuarina
fib	FIB	Fibrella sp. ES10-3-2-2
fli	FLI	Bernardetia litoralis
hsw	HSW	Hymenobacter swuensis
hym	HYM	Hymenobacter sp. APR13
hyd	HYD	Hymenobacter sp. DG25B
hye	HYE	Hymenobacter sp. DG25A
hyg	HYG	Hymenobacter sedentarius
hyp	HYP	Hymenobacter psoromatis
hyz	HYZ	Hymenobacter sp. PAMC 26628
hnv	HNV	Hymenobacter nivis
hyh	HYH	Hymenobacter oligotrophus
hyj	HYJ	Hymenobacter jejuensis
hqi	HQI	Hymenobacter qilianensis
hrs	HRS	Hymenobacter sp. BT18
hbn	HBN	Hymenobacter busanensis
hts	HTS	Hymenobacter taeanensis
hmt	HMT	Hymenobacter monticola
htb	HTB	Hymenobacter tibetensis
hyk	HYK	Hymenobacter yonginensis
hsk	HSK	Hymenobacter sediminicola
hcw	HCW	Hymenobacter canadensis
hsb	HSB	Hymenobacter sublimis
haei	HA[	Hymenobacter aerilatus
hcu	HCU	Hymenobacter cellulosilyticus
hvl	HVL	Hymenobacter volaticus
hcf	HCF	Hymenobacter cellulosivorans
hyq	HYQ	Hymenobacter latericus
hyu	HYU	Hymenobacter weizhouensis
pko	PKO	Pontibacter korlensis
pact	PA±	Pontibacter actiniarum
pont	POD	Pontibacter sp. SGAir0037
ruf	RUF	Rufibacter radiotolerans
rti	RTI	Rufibacter tibetensis
rud	RUD	Rufibacter sp. DG15C
nib	NIB	Nibribacter ruber
add	ADD	Adhaeribacter radiodurans
aswu	AST	Adhaeribacter swui
mtt	MTT	Marivirga tractuosa
mhaa	MHE	Marivirga harenae
marp	MAi	Marivirga arenosa
msaa	MSJ	Marivirga salinarum
fpf	FPF	Mangrovivirga cuniculi
flm	FLM	Flammeovirga sp. MY04
fll	FLL	Flammeovirga pectinis
fya	FYA	Flammeovirga yaeyamensis
fka	FKA	Flammeovirga kamogawensis
clit	CLA	Chondrinema litorale
iro	IRO	Imperialibacter roseus
imp	IMP	Imperialibacter sp. tig00000051
fbt	FBT	Flammeovirgaceae bacterium
aas	AAS	Candidatus Amoebophilus asiaticus
che	CHE	Cardinium endosymbiont cEper1 of Encarsia pergandiella
cec	CEC	Cardinium endosymbiont of Sogatella furcifera
cher	CHM	Candidatus Cardinium hertigii
ceng	CE8	Cardinium endosymbiont of Oedothorax gibbosus
chrw	CHN	Chryseotalea sp. WA131a
chk	CHK	Chryseolinea soli
fuv	FUV	Fulvivirga lutea
fmm	FMM	Fulvivirga maritima
fua	FUA	Fulvivirga ulvae
flw	FLW	Fulvivirga ligni
rek	REK	Reichenbachiella agarivorans
rcg	RCG	Reichenbachiella carrageenanivorans
prho	PRJ	Porifericola rhodea
tpel	TPI	Tunicatimonas pelagia
cnq	CNQ	Catalinimonas niigatensis
rsr	RSR	Roseivirga spongicola
fax	FAX	Fulvitalea axinellae
ppsv	PP|	Persicobacter psychrovividus
atk	ATK	Aureibacter tunicatorum
gfo	GFO	Christiangramia forsetii
grl	GRL	Christiangramia salexigens
gfl	GFL	Christiangramia flava
grs	GRS	Christiangramia fulva
chrn	CHO	Christiangramia sp. OXR-203
fps	FPS	Flavobacterium psychrophilum JIP02/86
fpc	FPC	Flavobacterium psychrophilum CSF259-93
fpy	FPY	Flavobacterium psychrophilum FPG101
fpo	FPO	Flavobacterium psychrophilum FPG3
fpq	FPQ	Flavobacterium psychrophilum 950106-1/1
fpv	FPV	Flavobacterium psychrophilum V3-5
fpw	FPW	Flavobacterium psychrophilum V4-24
fpk	FPK	Flavobacterium psychrophilum v4-33
fpsz	FP6	Flavobacterium psychrophilum Z2
fjo	FJO	Flavobacterium johnsoniae UW101
fjg	FJG	Flavobacterium anhuiense
fbr	FBR	Flavobacterium branchiophilum
fco	FCO	Flavobacterium columnare
fin	FIN	Flavobacterium indicum
fgl	FGL	Flavobacterium gilvum
fcm	FCM	Flavobacterium commune
ffa	FFA	Flavobacterium faecale
fat	FAT	Flavobacterium arcticum
fki	FKI	Flavobacterium kingsejongi
fpal	FP7	Flavobacterium pallidum
fmg	FMG	Flavobacterium magnum
falb	FA1	Flavobacterium album
fcr	FCR	Flavobacterium crocinum
fse	FSE	Flavobacterium sediminis
fsn	FSN	Flavobacterium sangjuense
fnk	FNK	Flavobacterium nackdongense
fak	FAK	Flavobacterium alkalisoli
ffl	FFL	Flavobacterium fluviale
fen	FEN	Flavobacterium endoglycinae
fcv	FCV	Flavobacterium covae
foe	FOE	Flavobacterium oreochromis
fsd	FSD	Flavobacterium sediminilitoris
flo	FLO	Flavobacterium litorale
fcc	FCC	Flavobacterium cyclinae
fcb	FCB	Flavobacterium channae
fpb	FPB	Flavobacterium panici
feh	FEH	Flavobacterium enshiense
faz	FAZ	Flavobacterium azooxidireducens
fbi	FBI	Flavobacterium bizetiae
fcs	FCS	Flavobacterium collinsii
fao	FAO	Flavobacterium ammonificans
fan	FAN	Flavobacterium ammoniigenes
fplu	FP8	Flavobacterium plurextorum
fhu	FHU	Flavobacterium humidisoli
fke	FKE	Flavobacterium keumense
fcu	FCU	Flavobacterium cerinum
fpec	FP9	Flavobacterium pectinovorum
fda	FDA	Flavobacterium dauae
fok	FOK	Flavobacterium okayamense
fag	FAG	Flavobacterium agricola
fav	FAV	Flavobacterium acetivorans
fgc	FGC	Flavobacterium galactosidilyticum
fdv	FDV	Flavobacterium davisii
fcg	FCG	Flavobacterium cupriresistens
ffv	FFV	Flavobacterium flavipigmentatum
flz	FLZ	Flavobacterium sp. SLB02
fcj	FCJ	Flavobacterium capsici
flr	FLR	Flavobacterium sp. WV_118_3
fnd	FND	Flavobacterium nakdongensis
flf	FLF	Flavobacterium sp. GSB-24
fsf	FSF	Flavobacterium soyae
flav	FL1	Flavobacterium sp. CLA17
fly	FLY	Flavobacterium sp. YJ01
flq	FLQ	Flavobacterium sp. CFS9
fadi	FA2	Flavobacterium adiutor
coc	COC	Capnocytophaga ochracea
ccm	CCM	Capnocytophaga canimorsus
col	COL	Capnocytophaga sp. oral taxon 323
chg	CHG	Capnocytophaga haemolytica
capn	CA^	Capnocytophaga endodontalis
cgh	CGH	Capnocytophaga gingivalis
clk	CLK	Capnocytophaga leadbetteri
cspu	CST	Capnocytophaga sputigena
ccyn	CC_	Capnocytophaga cynodegmi
caph	CA_	Capnocytophaga sp. H4358
csto	CSU	Capnocytophaga stomatis
capq	CA`	Capnocytophaga sp. H2931
capf	CAa	Capnocytophaga sp. FDAARGOS_737
capo	CAb	Capnocytophaga sp. oral taxon 902
capa	CAc	Capnocytophaga sp. ARDL2
rbi	RBI	Robiginitalea biformata
zpr	ZPR	Zunongwangia profunda
cat	CAT	Croceibacter atlanticus
fbc	FBC	Maribacter sp. HTCC2170
marm	MAj	Maribacter sp. 1_2014MBL_MicDiv
mart	MAk	Maribacter hydrothermalis
marb	MAl	Maribacter cobaltidurans
mare	MAm	Maribacter sp. MJ134
mlio	ML7	Maribacter litopenaei
cao	CAO	Cellulophaga algicola
cly	CLY	Cellulophaga lytica DSM 7489
clh	CLH	Cellulophaga lytica HI1
cbal	CBL	Cellulophaga baltica NN016038
cbat	CBM	Cellulophaga baltica 18
comn	COC	Cellulophaga omnivescoria
kdi	KDI	Dokdonia sp. 4H-3-7-5
dok	DOK	Dokdonia sp. MED134
ddo	DDO	Dokdonia donghaensis
dod	DOD	Dokdonia sp. Dokd-P16
lan	LAN	Lacinutrix sp. 5H-3-7-4
lvn	LVN	Lacinutrix venerupis
laci	LAK	Lacinutrix sp. Bg11-31
lnu	LNU	Lacinutrix neustonica
lacw	LAL	Lacinutrix sp. WUR7
zga	ZGA	Zobellia galactanivorans
zla	ZLA	Zobellia laminariae
asl	ASL	Aequorivita sublithincola
aev	AEV	Aequorivita ciconiae
aic	AIC	Aequorivita iocasae
aequ	AE4	Aequorivita marisscotiae
ptq	PTQ	Psychroflexus torquis
psyd	PS§	Psychroflexus sp. ALD_RP9
ndo	NDO	Nonlabens dokdonensis
nom	NOM	Nonlabens sp. MIC269
nsd	NSD	Nonlabens tegetincola
nob	NOB	Nonlabens sp. MB-3u-79
noj	NOJ	Nonlabens ponticola
nul	NUL	Nonlabens ulvanivorans
nmf	NMF	Nonlabens marinus
pom	POM	Polaribacter sp. MED152
pob	POB	Polaribacter vadi
prn	PRN	Polaribacter reichenbachii
pola	POE	Polaribacter sp. BM10
poa	POA	Polaribacter sp. ALD11
phal	PHL	Polaribacter haliotis
plit	PLP	Polaribacter litorisediminis
ppec	PP}	Polaribacter pectinis
pbat	PBS	Polaribacter batillariae
pcea	PCh	Polaribacter cellanae
pun	PUN	Polaribacter sejongensis
phg	PHG	Polaribacter huanghezhanensis
polq	POF	Polaribacter sp. Q13
myr	MYR	Myroides sp. A21
mpw	MPW	Myroides profundi
mod	MOD	Myroides odoratimimus
myz	MYZ	Myroides sp. ZB35
moa	MOA	Myroides odoratus
mals	MAn	Myroides albus
mcla	MCK	Myroides sp. JBRI-B21084
paae	PA²	Paenimyroides aestuarii
pcet	PCi	Paenimyroides ceti
win	WIN	Winogradskyella sp. PG-2
wij	WIJ	Winogradskyella sp. J14-2
sze	SZE	Siansivirga zeaxanthinifaciens
ahz	AHZ	Pseudalgibacter alginicilyticus
syi	SYI	Sediminicola sp. YIK13
tdi	TDI	Tenacibaculum dicentrarchi
ten	TEN	Tenacibaculum todarodis
tje	TJE	Tenacibaculum jejuense
tmar	TM5	Tenacibaculum maritimum
tmp	TMP	Tenacibaculum mesophilum
tov	TOV	Tenacibaculum ovolyticum
trt	TRT	Tenacibaculum retecalamus
tpac	TPJ	Tenacibaculum pacificus
tfi	TFI	Tenacibaculum finnmarkense
ttg	TTG	Tenacibaculum tangerinum
tsig	TS6	Tenacibaculum singaporense
tplt	TPK	Tenacibaculum platacis
tvai	TV1	Tenacibaculum vairaonense
tpoy	TPL	Tenacibaculum polynesiense
lut	LUT	Lutibacter profundi
lul	LUL	Urechidicola croceus
wfu	WFU	Wenyingzhuangia fucanilytica
for	FOR	Formosa sp. Hel1_33_131
foh	FOH	Formosa sp. Hel3_A1_48
fop	FOP	Formosa sediminum
salt	SA_	Salegentibacter sp. T436
smis	SMY	Salegentibacter mishustinae
seon	SEj	Seonamhaeicola sp. S2-3
aalg	AA`	Arenibacter algicola
aanr	AAa	Arenibacter antarcticus
oll	OLL	Olleya sp. Bg11-27
oaq	OAQ	Olleya aquimaris
fek	FEK	Flavivirga eckloniae
fay	FAY	Flavivirga abyssicola
tay	TAY	Tamlana sp. s12
taj	TAJ	Pseudotamlana carrageenivorans
aue	AUE	Pukyongia salina
kos	KOS	Kordia sp. SMS9
kan	KAN	Kordia antarctica
marf	MAo	Mariniflexile rhizosphaerae
mlil	ML8	Mariniflexile litorale
aqb	AQB	Aquimarina sp. BL5
aqa	AQA	Aquimarina sp. AD1
aqd	AQD	Aquimarina sp. AD10
aqe	AQE	Aquimarina sp. ERC-38
aqr	AQR	Aquimarina sp. TRL1
abez	ABI	Aquimarina besae
arho	ARH	Aquimarina rhodophyticola
amue	AM\	Aquimarina muelleri
emar	EM4	Euzebyella marina
mur	MUR	Muriicola soli
psyn	PS¨	Psychroserpens sp. NJDZ02
ppon	PP~	Psychroserpens ponticola
afla	AFB	Antarcticibacterium flavum
anp	ANP	Antarcticibacterium arcticum
oci	OCI	Oceanihabitans sp. IOP_32
mesq	MEm	Mesoflavibacter sp. HG96
gaa	GAA	Galbibacter sp. BG1
cagg	CAd	Costertonia aggregata
alti	ALT	Constantimarinum furrinae
marx	MAp	Marixanthomonas sp. SCSIO 43207
lpal	LP9	Leeuwenhoekiella palythoae
sinh	SIE	Sinomicrobium kalidii
asag	ASU	Aggregatimonas sangjinii
flg	FLG	Flagellimonas sp. HMM57
flb	FLB	Flagellimonas sp. CMM7
mrs	MRS	Allomuricauda ruestringensis
mlt	MLT	Flagellimonas lutaonensis
mut	MUT	Flagellimonas oceani
maqi	MAq	Flagellimonas marinaquae
spon	SP	Flagellimonas maritima
fld	FLD	Flagellimonas sp. MMG031
faj	FAJ	Flagellimonas alginolytica
fcx	FCX	Flagellimonas cixiensis
faw	FAW	Flagellimonas aurea
fue	FUE	Flagellimonas ulvae
frh	FRH	Flagellimonas rhodophyticola
sabu	SA`	Flaviramulus sp. BrNp1-15
zsp	ZSP	Zhouia spongiae
bia	BIA	Bizionia sp. M204
fbe	FBE	Aureibaculum algae
fbm	FBM	Abyssalbus ytuae
sahn	SAa	Salinimicrobium tongyeongense
sazs	SAb	Salinimicrobium sp. 3283s
alut	ALU	Algibacter luteus
luy	LUY	Lutimonas zeaxanthinifaciens
aest	AE5	Aestuariibaculum sp. YM273
mang	MAr	Mangrovimonas sp. YM274
mcaa	MCL	Mangrovimonas cancribranchiae
hws	HWS	Hwangdonia lutea
mgel	MGC	Rasiella rasia
tsx	TSX	Thalassobellus suaedae
pons	POG	Pontimicrobium sp. SW4
patu	PA³	Patiriisocius sp. Uisw_047
pati	PA´	Patiriisocius sp. Uisw_017
maui	MAs	Candidatus Marifrigoribacter sp. Uisw_064
cget	CG9	Croceiramulus getboli
fba	FBA	Flavobacteriaceae bacterium 3519-10
fbu	FBU	Flavobacteriaceae bacterium UJ101
fbq	FBQ	Flavobacteriaceae bacterium AU392
ran	RAN	Riemerella anatipestifer ATCC 11845 = DSM 15868
rai	RAI	Riemerella anatipestifer ATCC 11845 = DSM 15868
rar	RAR	Riemerella anatipestifer RA-GD
rag	RAG	Riemerella anatipestifer RA-CH-1
rae	RAE	Riemerella anatipestifer RA-CH-2
rat	RAT	Riemerella anatipestifer CH3
rcl	RCL	Riemerella columbina
wvi	WVI	Weeksella virosa
orh	ORH	Ornithobacterium rhinotracheale DSM 15997
ori	ORI	Ornithobacterium rhinotracheale ORT-UMN 88
ohm	OHM	Candidatus Ornithobacterium hominis
eao	EAO	Elizabethkingia anophelis NUHP1
emn	EMN	Elizabethkingia anophelis FMS-007
een	EEN	Elizabethkingia anophelis JM-87
elb	ELB	Elizabethkingia miricola
emg	EMG	Elizabethkingia meningoseptica
ego	EGO	Elizabethkingia ursingii
egm	EGM	Elizabethkingia bruuniana
elz	ELZ	Elizabethkingia sp. 2-6
elt	ELT	Elizabethkingia sp. JS20170427COW
eliz	EL7	Elizabethkingia sp. M8
chz	CHZ	Chryseobacterium sp. StRB126
cgn	CGN	Chryseobacterium gallinarum
cih	CIH	Chryseobacterium sp. IHB B 17019
chh	CHH	Chryseobacterium glaciei
cio	CIO	Chryseobacterium indologenes
chry	CHP	Chryseobacterium sp. T16E-39
cpip	CP[	Chryseobacterium piperi
chrs	CHQ	Chryseobacterium sp. 3008163
chrz	CHR	Chryseobacterium sp. 6424
carh	CAe	Chryseobacterium arthrosphaerae
csha	CSV	Chryseobacterium shandongense
cnk	CNK	Chryseobacterium nakagawai
cjt	CJT	Chryseobacterium joostei
cil	CIL	Chryseobacterium indoltheticum
ccau	CC`	Chryseobacterium carnipullorum
cben	CBN	Chryseobacterium bernardetii
cgle	CGA	Chryseobacterium gleum
ctai	CTv	Chryseobacterium taihuense
clac	CLB	Chryseobacterium lactis
ctak	CTw	Chryseobacterium taklimakanense
csal	CSW	Chryseobacterium salivictor
cbp	CBP	Chryseobacterium balustinum
cnp	CNP	Chryseobacterium nepalense
ccao	CCa	Chryseobacterium capnotolerans
crhi	CR4	Chryseobacterium rhizoplanae
corz	COD	Chryseobacterium oryzae
csup	CSX	Chryseobacterium suipulveris
cdae	CD8	Chryseobacterium daecheongense
ccab	CCb	Chryseobacterium camelliae
ctur	CTx	Chryseobacterium sp. C-71
chrj	CHS	Chryseobacterium sp. JV274
cora	COE	Chryseobacterium oranimense
cgam	CGB	Chryseobacterium gambrini
chra	CHT	Chryseobacterium sp.
chrc	CHU	Chryseobacterium gotjawalense
cflu	CFA	Chryseobacterium fluminis
cmaq	CMG	Chryseobacterium manosquense
ccuc	CCc	Chryseobacterium cucumeris
chrd	CHV	Chryseobacterium sp. D764
chrp	CHW	Chryseobacterium sp. POL2
chrt	CHX	Chryseobacterium sp. Y16C
chrk	CHY	Chryseobacterium sp. KCF3-3
chrh	CHZ	Chryseobacterium sp. PCH239
csco	CSY	Chryseobacterium scophthalmum
chrr	CH[	Chryseobacterium sp. PMSZPI
cchn	CCd	Chryseobacterium chendengshani
cwg	CWG	Chryseobacterium wangxinyae
cjg	CJG	Kaistella jeonii
ccas	CCe	Kaistella carnis
cant	CAf	Kaistella antarctica
kda	KDA	Kaistella daneshvariae
khi	KHI	Kaistella haifensis
kbe	KBE	Candidatus Kaistella beijingensis
kfa	KFA	Kaistella flava
kaq	KAQ	Kaistella sp. 97-N-M2
cfae	CFB	Kaistella faecalis
eva	EVA	Epilithonimonas vandammei
eze	EZE	Epilithonimonas zeae
cbau	CBO	Marnyiella aurantia
cnr	CNR	Cloacibacterium normanense
ebv	EBV	Empedobacter brevis
efal	EF3	Empedobacter falsenii
este	ES2	Empedobacter stercoris
bcad	BCQ	Bergeyella cardium
bpor	BPU	Bergeyella porcorum
apib	APY	Apibacter sp. B2966
civ	CIV	Cruoricaptor ignavus
fbo	FBO	Faecalibacter bovis
smg	SMG	Candidatus Karelsulcia muelleri GWSS
sms	SMS	Candidatus Karelsulcia muelleri SMDSEM
smh	SMH	Candidatus Karelsulcia muelleri DMIN
sum	SUM	Candidatus Karelsulcia muelleri CARI
smv	SMV	Candidatus Karelsulcia muelleri Sulcia-ALF
smub	SMZ	Candidatus Karelsulcia muelleri BGSS
smum	SM[	Candidatus Karelsulcia muelleri ML
smue	SM\	Candidatus Karelsulcia muelleri TETUND
smup	SM]	Candidatus Karelsulcia muelleri PSPU
elv	ELV	Candidatus Walczuchella monophlebidarum
udi	UDI	Candidatus Uzinura diaspidicola
sbos	SB7	Candidatus Shikimatogenerans bostrichidophilus
bbl	BBL	Blattabacterium sp.
bpi	BPI	Blattabacterium sp. BPLAN
bmm	BMM	Blattabacterium sp.
bcp	BCP	Blattabacterium Cpu
bbg	BBG	Blattabacterium sp.
bbq	BBQ	Blattabacterium sp.
blp	BLP	Blattabacterium cuenoti
blu	BLU	Blattabacterium sp.
blck	BL9	Blattabacterium sp.
bpun	BPV	Blattabacterium punctulatus
blad	BLA	Blattabacterium sp. DPU
fte	FTE	Fluviicola taffensis
flu	FLU	Candidatus Fluviicola riflensis
crm	CRM	Paracrocinitomix mangrovi
oho	OHO	Owenweeksia hongkongensis
chyd	CH\	Croceimicrobium hydrocarbonivorans
ise	ISE	Ichthyobacterium seriolicida
ptan	PTQ	Parvicella tangerina
bus	BUS	Candidatus Bostrichicola ureolyticus
shyr	SHM	Candidatus Sulfidibacterium hydrothermale
bbau	BBM	Bacteroidetes bacterium
cte	CTE	Chlorobaculum tepidum
cpc	CPC	Chlorobaculum parvum
clz	CLZ	Chlorobaculum limnaeum
cch	CCH	Chlorobium chlorochromatii
cph	CPH	Chlorobium phaeobacteroides DSM 266
cpb	CPB	Chlorobium phaeobacteroides BS1
cli	CLI	Chlorobium limicola
pvi	PVI	Chlorobium phaeovibrioides
plt	PLT	Pelodictyon luteolum
pph	PPH	Pelodictyon phaeoclathratiforme
paa	PAA	Prosthecochloris aestuarii
proc	PRK	Prosthecochloris sp. CIB 2401
prs	PRS	Prosthecochloris sp. HL-130-GSB
pros	PRL	Prosthecochloris sp. GSB1
prow	PRM	Prosthecochloris sp. SCSIO W1101
proi	PRN	Prosthecochloris sp. SCSIO W1103
cts	CTS	Chloroherpeton thalassium
rmr	RMR	Rhodothermus marinus DSM 4252
rmg	RMG	Rhodothermus marinus SG0.5JP17-172
rlo	RLO	Rhodocaloribacter litoris
rbar	RB5	Rhodothermaceae bacterium RA
sru	SRU	Salinibacter ruber DSM 13855
srm	SRM	Salinibacter ruber M8
ial	IAL	Ignavibacterium album
mro	MRO	Melioribacter roseus
cprv	CP\	Cyclonatronum proteinivorum
caci	CAg	Candidatus Cloacimonas acidaminovorans
fml	FML	Fidelibacter multiformis
aae	AAE	Aquifex aeolicus
hya	HYA	Hydrogenobaculum sp. Y04AAS1
hho	HHO	Hydrogenobaculum sp. HO
hys	HYS	Hydrogenobaculum sp. SN
hth	HTH	Hydrogenobacter thermophilus
hte	HTE	Hydrogenobacter thermophilus
tal	TAL	Thermocrinis albus
trd	TRD	Thermocrinis ruber
pdiz	PDD	Pampinifervens diazotrophicum
pflo	PFJ	Pampinifervens florentissimum
sul	SUL	Sulfurihydrogenibium sp. YO3AOP1
saf	SAF	Sulfurihydrogenibium azorense
pmx	PMX	Persephonella marina
tam	TAM	Thermovibrio ammonificans
dte	DTE	Desulfurobacterium thermolithotrophum
ttk	TTK	Thermosulfidibacter takaii
cpo	CPO	Coprothermobacter proteolyticus
cex	CEX	Caldisericum exile
din	DIN	Desulfurispirillum indicum
ddf	DDF	Deferribacter desulfuricans
dap	DAP	Denitrovibrio acetiphilus
gtl	GTL	Geovibrio thiophilus
cni	CNI	Calditerrivibrio nitroreducens
fsi	FSI	Flexistipes sinusarabici
msch	MSK	Mucispirillum schaedleri
caby	CAh	Caldithrix abyssi
dth	DTH	Dictyoglomus thermophilum
dtu	DTU	Dictyoglomus turgidum
tye	TYE	Thermodesulfovibrio yellowstonii
tob	TOB	Thermodesulfovibrio obliviosus
taut	TAN	Thermodesulfovibrio autotrophicus
dtp	DTP	Dissulfurispira thermophila
nde	NDE	Nitrospira defluvii
nmv	NMV	Nitrospira moscoviensis
nio	NIO	Candidatus Nitrospira inopinata
nja	NJA	Nitrospira japonica
nkf	NKF	Candidatus Nitrospira kreftii
nif	NIF	Nitrospira sp. KM1
nti	NTI	Nitrospira tepida
nall	NA9	Candidatus Nitrospira allomarina
nneo	NN1	Candidatus Nitrospira neomarina
lfc	LFC	Leptospirillum ferrooxidans
lfi	LFI	Leptospirillum ferriphilum ML-04
lfp	LFP	Leptospirillum ferriphilum YSK
leg	LEG	Leptospirillum sp. Group II
nli	NLI	Candidatus Nitronauta litoralis
nwt	NWT	Nitrospina watsonii
nva	NVA	Candidatus Nitrohelix vancouverensis
alam	ALV	Atribacter laminatus
tvx	TVX	Thermatribacter velox
atho	ATA	Atrimonas thermophila
zth	ZTH	Zhurongbacter thermophilus
bsed	BSP	Bradymonas sediminis
pcay	PCj	Persicimonas caeni
bbae	BBN	Microvenator marinus
dhr	DHR	Dissulfurimicrobium hydrothermale
bsu	BSU	Bacillus subtilis subsp. subtilis 168
bsr	BSR	Bacillus subtilis subsp. subtilis RO-NN-1
bsl	BSL	Bacillus subtilis subsp. subtilis BSP1
bsh	BSH	Bacillus subtilis subsp. subtilis 6051-HGW
bsy	BSY	Bacillus subtilis subsp. subtilis BAB-1
bsut	BSQ	Bacillus subtilis subsp. subtilis AG1839
bsul	BSR	Bacillus subtilis subsp. subtilis JH642
bsus	BSS	Bacillus subtilis subsp. subtilis OH 131.1
bso	BSO	Bacillus subtilis subsp. natto BEST195
bsn	BSN	Bacillus subtilis BSn5
bsq	BSQ	Bacillus subtilis QB928
bsx	BSX	Bacillus subtilis XF-1
bsp	BSP	Bacillus subtilis PY79
bss	BSS	Bacillus subtilis subsp. spizizenii W23
bst	BST	Bacillus spizizenii TU-B-10
bit	BIT	Bacillus spizizenii T30
bli	BLI	Bacillus licheniformis ATCC 14580
bld	BLD	Bacillus licheniformis DSM 13 = ATCC 14580
blh	BLH	Bacillus paralicheniformis
bay	BAY	Bacillus velezensis FZB42
baq	BAQ	Bacillus velezensis CAU B946
bya	BYA	Bacillus velezensis YAU B9601-Y2
bqy	BQY	Bacillus velezensis YAU B9601-Y2
bamp	BAg	Bacillus velezensis AS43.3
baml	BAh	Bacillus velezensis UCMB5036
bama	BAi	Bacillus velezensis UCMB5033
bamn	BAj	Bacillus velezensis UCMB5113
bamb	BAk	Bacillus velezensis NAU-B3
bamt	BAl	Bacillus velezensis TrigoCor1448
bamy	BAm	Bacillus velezensis SQR9
bmp	BMP	Bacillus velezensis JS25R
bao	BAO	Bacillus amyloliquefaciens DSM 7
baz	BAZ	Bacillus amyloliquefaciens TA208
bql	BQL	Bacillus amyloliquefaciens LL3
bxh	BXH	Bacillus amyloliquefaciens XH7
bami	BAn	Bacillus amyloliquefaciens IT-45
bamc	BAo	Bacillus amyloliquefaciens CC178
bamf	BAp	Bacillus amyloliquefaciens LFB112
bsia	BST	Bacillus siamensis
bae	BAE	Bacillus atrophaeus
bvm	BVM	Bacillus vallismortis
bson	BSU	Bacillus sonorensis
bht	BHT	Bacillus halotolerans
bmoj	BMO	Bacillus mojavensis
bteq	BTI	Bacillus tequilensis
biq	BIQ	Bacillus inaquosorum
bstr	BSV	Bacillus stercoris
ban	BAN	Bacillus anthracis Ames
bar	BAR	Bacillus anthracis Ames Ancestor
bat	BAT	Bacillus anthracis Sterne
bah	BAH	Bacillus anthracis CDC 684
bai	BAI	Bacillus anthracis A0248
bax	BAX	Bacillus anthracis H9401
bant	BAq	Bacillus anthracis A16
banr	BAr	Bacillus anthracis A16R
bans	BAs	Bacillus anthracis SVA11
banh	BAt	Bacillus anthracis HYU01
banv	BAu	Bacillus anthracis Vollum
