ORIG_KEGG	ID_CODE	ORGANISM_NAME
xla	XLA	Xenopus laevis
xtr	XTR	Xenopus tropicalis
npr	NPR	Nanorana parkeri
rtem	RT1	Rana temporaria
acat	AC7	Aquarana catesbeiana
pads	PA5	Pyxicephalus adspersus
bbuf	BB4	Bufo bufo
bgar	BG1	Bufo gargarizans
dtc	DTC	Dendrobates tinctorius
hsq	HSQ	Hyla sarda
pcob	PC9	Pseudophryne corroboree
pwl	PWL	Pleurodeles waltl
muo	MUO	Microcaecilia unicolor
gsh	GSH	Geotrypetes seraphini
dre	DRE	Danio rerio
srx	SRX	Sinocyclocheilus rhinocerous
sanh	SA3	Sinocyclocheilus anshuiensis
sgh	SGH	Sinocyclocheilus grahami
ccar	CC8	Cyprinus carpio
caua	CA5	Carassius auratus
cgib	CG1	Carassius gibelio
ptet	PT3	Puntigrus tetrazona
lroh	LR2	Labeo rohita
grf	GRF	Garra rufa
omc	OMC	Onychostoma macrolepis
pprm	PP6	Pimephales promelas
rkg	RKG	Rhinichthys klamathensis goyatoka
mamb	MA6	Megalobrama amblycephala
cide	CI2	Ctenopharyngodon idella
cery	CE1	Chanodichthys erythropterus
masi	MA7	Myxocyprinus asiaticus
tros	TR1	Triplophysa rosa
tdw	TDW	Triplophysa dalaica
manu	MA8	Misgurnus anguillicaudatus
pdab	PD2	Paramisgurnus dabryanus
ipu	IPU	Ictalurus punctatus
ifu	IFU	Ictalurus furcatus
phyp	PH2	Pangasianodon hypophthalmus
smeo	SM1	Silurus meridionalis
tfd	TFD	Tachysurus fulvidraco
tvc	TVC	Tachysurus vachellii
cgar	CG2	Clarias gariepinus
ngra	NG1	Neoarius graeffei
trn	TRN	Trichomycterus rosablanca
amex	AM1	Astyanax mexicanus
cmao	CM2	Colossoma macropomum
eee	EEE	Electrophorus electricus
char	CH1	Clupea harengus
spil	SP1	Sardina pilchardus
asad	AS3	Alosa sapidissima
tru	TRU	Takifugu rubripes
tfs	TFS	Takifugu flavidus
tng	TNG	Tetraodon nigroviridis
lco	LCO	Larimichthys crocea
ncc	NCC	Notothenia coriiceps
tben	TB1	Trematomus bernacchii
cgob	CG3	Cottoperca gobio
pgeo	PG4	Pseudochaenichthys georgianus
gacu	GA2	Gymnodraco acuticeps
emac	EM1	Eleginops maclovinus
ely	ELY	Epinephelus lanceolatus
efo	EFO	Epinephelus fuscoguttatus
plep	PL5	Plectropomus leopardus
sluc	SL1	Sander lucioperca
svit	SV1	Sander vitreus
ecra	EC1	Etheostoma cragini
esp	ESP	Etheostoma spectabile
pflv	PF1	Perca flavescens
pflt	PF2	Perca fluviatilis
gat	GAT	Gasterosteus aculeatus
ppug	PP7	Pungitius pungitius
afb	AFB	Anoplopoma fimbria
clum	CL2	Cyclopterus lumpus
pswi	PS2	Pseudoliparis swirei
cana	CA6	Clinocottus analis
cve	CVE	Cebidichthys violaceus
amir	AM2	Anarhichas minor
msam	MS1	Micropterus salmoides
schu	SC3	Siniperca chuatsi
earm	EA1	Enoplosus armatus
cud	CUD	Cheilinus undulatus
spul	SP2	Semicossyphus pulcher
lmix	LM3	Labrus mixtus
htc	HTC	Halichoeres trimaculatus
alat	AL1	Acanthopagrus latus
astr	AS4	Antennarius striatus
pklu	PK1	Pempheris klunzingeri
mze	MZE	Maylandia zebra
onl	ONL	Oreochromis niloticus
oau	OAU	Oreochromis aureus
ola	OLA	Oryzias latipes
oml	OML	Oryzias melastigma
csai	CS5	Cololabis saira
xma	XMA	Xiphophorus maculatus
xco	XCO	Xiphophorus couchianus
xhe	XHE	Xiphophorus hellerii
pret	PR4	Poecilia reticulata
pfor	PF3	Poecilia formosa
plai	PL6	Poecilia latipinna
pmei	PM6	Poecilia mexicana
gaf	GAF	Gambusia affinis
pprl	PP8	Poeciliopsis prolifica
cvg	CVG	Cyprinodon variegatus
ctul	CT2	Cyprinodon tularosa
gmu	GMU	Girardinichthys multiradiatus
nfu	NFU	Nothobranchius furzeri
kmr	KMR	Kryptolebias marmoratus
alim	AL2	Austrofundulus limnaeus
nwh	NWH	Nematolebias whitei
aoce	AO1	Amphiprion ocellaris
eja	EJA	Embiotoca jacksoni
bfre	BF1	Brachyistius frenatus
mcep	MC3	Mugil cephalus
csem	CS6	Cynoglossus semilaevis
pov	POV	Paralichthys olivaceus
ssen	SS2	Solea senegalensis
ssoe	SS3	Solea solea
hhip	HH2	Hippoglossus hippoglossus
hsp	HSP	Hippoglossus stenolepis
pplt	PP9	Pleuronectes platessa
smau	SM2	Scophthalmus maximus
lcf	LCF	Lates calcarifer
sdu	SDU	Seriola dumerili
slal	SL2	Seriola lalandi dorsalis
xgl	XGL	Xiphias gladius
hcq	HCQ	Hippocampus comes
sscv	SS4	Syngnathus scovelli
sbia	SB1	Syngnathoides biaculeatus
pee	PEE	Phycodurus eques
